Name,Birth,Succession,Reign,Time,Deaths
" Michael VIII Palaiologos (Μιχαὴλ Παλαιολόγος)
"," 1223
"," Senior emperor and regent of John IV Laskaris, grandnephew of John III by marriage and great-grandson of Alexios III
"," 1 January 1259– 11 December 1282
"," 23 years, 11 months
"," 11 December 1282 (age 58), Pachomion, near  Lysimachia 
"
" Andronikos II Palaiologos (Ἀνδρόνικος Παλαιολόγος)
"," 25 March 1259,  Nicaea 
"," Son of Michael VIII
"," 11 December 1282– 24 May 1328
"," 45 years, 5 months
"," 13 February 1332 (age 72), Constantinople
"
" Michael IX Palaiologos (Μιχαήλ Παλαιολόγος)
"," 17 April 1277, Constantinople
"," Son of Andronikos II, reigned alongside him as co-emperor with full imperial style
"," 1295– 12 October 1320
"," 25 years
"," 12 October 1320 (age 43),  Thessaloniki 
"
" Andronikos III Palaiologos (Ἀνδρόνικος Παλαιολόγος)
"," 25 March 1297, Constantinople
"," Son of Michael IX, named co-emperor in 1316 and rival emperor since 1321. Deposed his grandfather Andronikos II in 1328 and reigned as sole emperor
"," 24 May 1328– 15 June 1341
"," 13 years
"," 15 June 1341 (age 44), Constantinople
 Possibly chronic  malaria 
 
"
" John V Palaiologos (Ἰωάννης Παλαιολόγος)
"," 18 June 1332,  Didymoteicho 
"," Son of Andronikos III
"," 15 June 1341– 12 August 1376
"," 38 years  (1st reign) 
"," 16 February 1391 (aged 58), Constantinople
"
" John VI Kantakouzenos (Ἰωάννης Καντακουζηνός)
 with 
 Matthew Kantakouzenos (Ματθαίος Ασάνης Καντακουζηνός)
 
"," 1292, Constantinople
"," Maternal relative of the Palaiologi, declared co-emperor by John V in 1341 and recognized as senior emperor in 1347 following a civil war. Appointed his son Matthew as co-emperor in 1353
"," 8 February 1347– 4 December 1354
 1353 – 1357 (Matthew) 
 
"," 7 years
 4 years (Matthew) 
 
"," 15 June 1383 (aged 90 or 91), deposed and in exile as a monk in the  Peloponnese , Matthew was defeated in 1357 and later served as the governor of the  Morea  until his death on the same day as his father
"
" Andronikos IV Palaiologos (Ἀνδρόνικος Παλαιολόγος)
"," 11 April 1348, Constantinople
"," Son of John V, co-emperor since 1352, deposed his father John V in 1376
"," 12 August 1376– 1 July 1379
"," 3 years
"," 28 June 1385 (age 37),  Selymbria 
"
" John V Palaiologos (Ἰωάννης Παλαιολόγος)
 (second reign) 
 
"," 18 June 1332,  Didymoteicho 
"," Restored to the throne after overthrowing his son Andronikos IV
"," 1 July 1379– 14 April 1390
"," 11 years  (2nd reign) 
"," 16 February 1391 (aged 58), Constantinople
"
" John VII Palaiologos (Ἰωάννης Παλαιολόγος)
"," 1370
"," Rebellion, son and co-emperor of Andronikos IV, deposed his grandfather John V
"," 14 April 1390– 17 September 1390
"," 5 months
"," 22 September 1408 (aged 38),  Thessaloniki 
"
" John V Palaiologos (Ἰωάννης Παλαιολόγος)
 (third reign) 
 
"," 18 June 1332,  Didymoteicho 
"," Restored to the throne after overthrowing his grandson John VII
"," 17 September 1390– 16 February 1391
"," 5 months  (3rd reign) 
"," 16 February 1391 (aged 58), Constantinople
"
" Manuel II Palaiologos (Μανουὴλ Παλαιολόγος)
 with 
 John VII Palaiologos (Ἰωάννης Παλαιολόγος)
 and 
 Andronikos V Palaiologos (Ἀνδρόνικος Παλαιολόγος)
 
"," 27 June 1350, Constantinople
"," Son of John V, co-emperor since 1373. John VII Palaiologos, who previously usurped the throne in 1390, was proclaimed co-emperor in 1403, keeping the title until his death in 1408. John VII also proclaimed his son, Andronikos V, co-emperor but Andronikos died before his father, in 1407. The imperial status of John and Andronikos was purely honorary.
"," 16 February 1391– 21 July 1425 1403 – 1408 (John VII) 1403 – 1407 (Andronikos V) 
"," 34 years 5 years (John VII) 4 years (Andronikos V) 
"," 21 July 1425 (age 75), Constantinople
 John died 22 September 1408 at  Thessaloniki , Andronikos died aged 7 on September 24th, 1407.
 
"
" John VIII Palaiologos (Ἰωάννης Παλαιολόγος)
"," 18 December 1392
"," Son of Manuel II, co-emperor since 1416
"," 21 July 1425– 31 October 1448
"," 23 years
"," 31 October 1448 (age 55), Constantinople
"
" Constantine XI Palaiologos (Κωνσταντῖνος Δραγάσης Παλαιολόγος)
"," 8 February 1405, Constantinople
"," Son of Manuel II
"," 6 January 1449– 29 May 1453
"," 4 years, 4 months, 23 days
"," 29 May 1453 (age 48), Constantinople
 Refused to surrender Constantinople to the  Ottoman  sultan  Mehmed II  and died fighting during the  final Ottoman attack 
 
"
